Epoch 91: Loss 8.92, Reward -21.0, Avgloss 9.99, Avgreward -20.46, Epsilon 0.24, TotalStep 80829
Epoch 92: Loss 10.12, Reward -20.0, Avgloss 9.99, Avgreward -20.45, Epsilon 0.24, TotalStep 81666
Epoch 93: Loss 10.29, Reward -20.0, Avgloss 9.99, Avgreward -20.45, Epsilon 0.23, TotalStep 82557
Epoch 94: Loss 10.13, Reward -20.0, Avgloss 9.99, Avgreward -20.44, Epsilon 0.23, TotalStep 83418
Epoch 95: Loss 9.05, Reward -21.0, Avgloss 9.99, Avgreward -20.45, Epsilon 0.23, TotalStep 84237
Epoch 96: Loss 9.32, Reward -21.0, Avgloss 9.98, Avgreward -20.45, Epsilon 0.22, TotalStep 85083
Epoch 97: Loss 9.12, Reward -21.0, Avgloss 9.97, Avgreward -20.46, Epsilon 0.22, TotalStep 85844
Epoch 98: Loss 9.15, Reward -21.0, Avgloss 9.96, Avgreward -20.46, Epsilon 0.22, TotalStep 86601
Epoch 99: Loss 10.11, Reward -21.0, Avgloss 9.96, Avgreward -20.47, Epsilon 0.22, TotalStep 87420
Epoch 100: Loss 9.90, Reward -21.0, Avgloss 9.95, Avgreward -20.48, Epsilon 0.21, TotalStep 88297
Epoch 101: Loss 8.93, Reward -21.0, Avgloss 9.95, Avgreward -20.48, Epsilon 0.21, TotalStep 89082
Epoch 102: Loss 8.83, Reward -21.0, Avgloss 9.93, Avgreward -20.48, Epsilon 0.21, TotalStep 89840
Epoch 103: Loss 8.57, Reward -21.0, Avgloss 9.92, Avgreward -20.48, Epsilon 0.21, TotalStep 90598
Epoch 104: Loss 9.29, Reward -21.0, Avgloss 9.92, Avgreward -20.48, Epsilon 0.20, TotalStep 91388
Epoch 105: Loss 9.37, Reward -21.0, Avgloss 9.88, Avgreward -20.50, Epsilon 0.20, TotalStep 92207
Epoch 106: Loss 9.03, Reward -21.0, Avgloss 9.86, Avgreward -20.53, Epsilon 0.20, TotalStep 92968
Epoch 107: Loss 9.32, Reward -21.0, Avgloss 9.84, Avgreward -20.55, Epsilon 0.20, TotalStep 93725
Epoch 108: Loss 10.91, Reward -20.0, Avgloss 9.85, Avgreward -20.54, Epsilon 0.19, TotalStep 94620
Epoch 109: Loss 8.56, Reward -21.0, Avgloss 9.85, Avgreward -20.54, Epsilon 0.19, TotalStep 95376
Epoch 110: Loss 10.62, Reward -21.0, Avgloss 9.87, Avgreward -20.54, Epsilon 0.19, TotalStep 96236
Epoch 111: Loss 10.89, Reward -20.0, Avgloss 9.86, Avgreward -20.55, Epsilon 0.19, TotalStep 97152
Epoch 112: Loss 10.40, Reward -21.0, Avgloss 9.85, Avgreward -20.55, Epsilon 0.18, TotalStep 98033
Epoch 113: Loss 11.37, Reward -21.0, Avgloss 9.86, Avgreward -20.56, Epsilon 0.18, TotalStep 98972
Epoch 114: Loss 8.70, Reward -21.0, Avgloss 9.82, Avgreward -20.58, Epsilon 0.18, TotalStep 99730
Epoch 115: Loss 11.30, Reward -21.0, Avgloss 9.80, Avgreward -20.60, Epsilon 0.18, TotalStep 100696
